SI,HL,NAT
0,1,3.785714286
0,1,3.5
0,1,3.714285714
0,1,2.928571429
0,1,2.571428571
0,1,4.357142857
0,1,2.357142857
0,1,3.285714286
0,1,6.333333333
0,1,5
0,1,4.933333333
0,1,5.933333333
0,1,3.266666667
0,1,2.8
0,1,2.733333333
0,1,4.333333333
0,1,2.933333333
0,1,2.466666667
0,1,3.133333333
0,1,3.4
0,1,4.333333333
0,1,4
0,1,2.533333333
0,1,2.666666667
0,1,3.8
0,1,5.533333333
0,1,3.8
0,1,6.25
0,1,4.5625
0,1,4.0625
0,1,4
0,1,3.875
0,1,4.1875
0,1,4.375
0,1,5.1875
0,1,4.125
0,1,3.875
0,1,3.5625
0,1,3.5
0,1,4.6875
0,1,4.0625
0,1,4.125
0,1,5.266666667
0,1,4.733333333
0,1,4
0,1,3.6
0,1,3.8
0,1,4.4
0,1,4.8
0,1,4.6
1,1,5.75
1,1,6.25
1,1,5.533333333
1,1,6.3125
1,1,5.866666667
1,1,6.5625
1,1,6.066666667
1,1,6.25
1,1,5.375
1,1,5.125
1,1,5.466666667
1,1,6.1875
1,1,5.125
1,1,5.933333333
1,1,6.066666667
1,1,5.1875
1,1,6.466666667
1,1,6.125
1,1,4.466666667
1,1,5.9375
1,1,6.3125
1,1,6.133333333
1,1,6.5625
1,1,6.466666667
1,1,6.133333333
1,1,5.266666667
1,1,6.3125
1,1,5.142857143
1,1,4.133333333
1,1,6.5
1,1,6.071428571
1,1,6.333333333
1,1,6.571428571
1,1,5.466666667
1,1,6.071428571
1,1,6.642857143
1,1,6.266666667
1,1,6.214285714
1,1,6.071428571
1,1,3.2
1,1,5.933333333
1,1,6.066666667
1,1,6.4
1,1,6.571428571
1,1,6.714285714
1,1,5.928571429
1,1,6.6
1,1,6.066666667
1,1,5.928571429
1,1,5.785714286
0,0,6.142857143
0,0,6.357142857
0,0,5.857142857
0,0,5.214285714
0,0,4.714285714
0,0,5.928571429
0,0,5.928571429
0,0,5.642857143
0,0,6.214285714
0,0,5.285714286
0,0,6
0,0,5
0,0,5
0,0,4.8
0,0,5.266666667
0,0,5.933333333
0,0,6.4
0,0,5.4
0,0,5.066666667
0,0,5.933333333
0,0,5.4
0,0,6.266666667
0,0,5.8
0,0,6.25
0,0,6.375
0,0,6.375
0,0,5.25
0,0,4.375
0,0,6.1875
0,0,5.125
0,0,6.5625
0,0,5.5
0,0,6.4375
0,0,5.8125
0,0,6.5
0,0,6.066666667
0,0,5.266666667
0,0,5.8
0,0,5.533333333
0,0,6.2
0,0,5.733333333
0,0,5.333333333
0,0,6.4
0,0,5.6
0,0,3.533333333
0,0,5.4
0,0,5.733333333
0,0,5.8
0,0,6.333333333
0,0,6.066666667
1,0,1.5625
1,0,1.75
1,0,2
1,0,3.533333333
1,0,5.266666667
1,0,1.625
1,0,3.4375
1,0,2.4375
1,0,1.533333333
1,0,1.866666667
1,0,2.875
1,0,1.4
1,0,3
1,0,2
1,0,2.733333333
1,0,2.3125
1,0,1.1875
1,0,1.6
1,0,3.466666667
1,0,1.733333333
1,0,2.8
1,0,2
1,0,1.6875
1,0,
1,0,3.133333333
1,0,2.866666667
1,0,3.428571429
1,0,2.8
1,0,2.066666667
1,0,2.071428571
1,0,2.714285714
1,0,2.333333333
1,0,1.933333333
1,0,1.785714286
1,0,2.142857143
1,0,2.357142857
1,0,5.142857143
1,0,1.933333333
1,0,2.2
1,0,1.6
1,0,2.6
1,0,5.533333333
1,0,1.571428571
1,0,2.5
1,0,5.142857143
1,0,2
1,0,2.714285714
1,0,1.714285714
1,0,1.928571429
1,0,1.642857143
