rel,si,rt
1,0,1844.615385
1,0,1132.384615
1,0,1251.153846
1,0,1597.769231
1,0,1319.615385
1,0,1067.230769
1,0,533.6923077
1,0,2086.461538
1,0,2487.230769
1,0,763.2307692
1,0,644.8461538
1,0,1346.769231
1,0,1276
1,0,2095.153846
1,0,1169.461538
1,0,881.3076923
1,0,593.3846154
1,0,1133.615385
1,0,2192.846154
1,0,1514.923077
1,0,1739.615385
1,0,1570.615385
1,0,632.3846154
1,0,635.3076923
1,0,867.5384615
1,0,651.2307692
1,0,1252.769231
1,0,1268.692308
1,0,1137.230769
1,0,852.7692308
1,0,2587.692308
1,0,592.6923077
1,0,1364.692308
1,0,532.6923077
1,0,757.3846154
1,0,625.4615385
1,0,814.1538462
1,0,1520.846154
1,0,651.5384615
1,0,1507.615385
1,0,655.7692308
1,0,932.0769231
1,0,1101.461538
1,0,717.6923077
1,0,1306.692308
1,0,489.3076923
1,0,925.0769231
1,0,973.6153846
1,0,764.4615385
1,0,707.3846154
1,1,491.6153846
1,1,1253.692308
1,1,1242.076923
1,1,1276.538462
1,1,579.3846154
1,1,791
1,1,2155.692308
1,1,790.1538462
1,1,692.1538462
1,1,970.1538462
1,1,699.2307692
1,1,1011.692308
1,1,642.6153846
1,1,1187.461538
1,1,370.7692308
1,1,733.3846154
1,1,407.1538462
1,1,1223.692308
1,1,502.7692308
1,1,1351.153846
1,1,2815.153846
1,1,1657.923077
1,1,1182.692308
1,1,721
1,1,378.9230769
1,1,1421.076923
1,1,1039.076923
1,1,1116.307692
1,1,2442.538462
1,1,1395.846154
1,1,608.6153846
1,1,706.6153846
1,1,734.8461538
1,1,1188.538462
1,1,948.8461538
1,1,778.4615385
1,1,799.2307692
1,1,1303.692308
1,1,781.6923077
1,1,835.4615385
1,1,315.2307692
1,1,412.5384615
1,1,984.2307692
1,1,835.0769231
1,1,353.8461538
1,1,620.0769231
1,1,340.9230769
1,1,272.2307692
1,1,792.7692308
1,1,1295.307692
0,0,1441.384615
0,0,1473.692308
0,0,1193.769231
0,0,700.7692308
0,0,376.3846154
0,0,573.3846154
0,0,801.2307692
0,0,501.7692308
0,0,1287.076923
0,0,639.4615385
0,0,940.9230769
0,0,337.3846154
0,0,718.2307692
0,0,947.3076923
0,0,1630
0,0,2371.846154
0,0,979.7692308
0,0,311.3846154
0,0,392.3846154
0,0,361.6153846
0,0,610.7692308
0,0,572.8461538
0,0,672.0769231
0,0,1196.384615
0,0,1727
0,0,370.3846154
0,0,798.7692308
0,0,803.6153846
0,0,530.5384615
0,0,1060.153846
0,0,359.9230769
0,0,1047.461538
0,0,1346.461538
0,0,311.6153846
0,0,1675.846154
0,0,1432
0,0,720.6153846
0,0,709.5384615
0,0,428.6923077
0,0,610.3846154
0,0,319
0,0,502.0769231
0,0,544.1538462
0,0,897.3846154
0,0,301
0,0,784.5384615
0,0,869.0769231
0,0,364.4615385
0,0,1076.923077
0,0,461.5384615
0,1,1189.461538
0,1,1764
0,1,1081.769231
0,1,1696.076923
0,1,842.8461538
0,1,796.6153846
0,1,828.4615385
0,1,1723.692308
0,1,966.0769231
0,1,999.9230769
0,1,1854.230769
0,1,1108.923077
0,1,853.4615385
0,1,1304.923077
0,1,553.3076923
0,1,613.6153846
0,1,860.8461538
0,1,668.9230769
0,1,1201.153846
0,1,2523.769231
0,1,2931.384615
0,1,930.1538462
0,1,782.9230769
0,1,1949.923077
0,1,673.1538462
0,1,1198
0,1,370.5384615
0,1,421.6923077
0,1,370.0769231
0,1,2362.769231
0,1,1056.230769
0,1,542.1538462
0,1,772.7692308
0,1,874.1538462
0,1,433.8461538
0,1,290.3846154
0,1,1071.769231
0,1,1231.307692
0,1,748.8461538
0,1,377.6153846
0,1,393.5384615
0,1,1476.076923
0,1,565.7692308
0,1,941.2307692
0,1,1112.461538
0,1,1220.615385
0,1,572.5384615
0,1,861.0769231
0,1,344.6153846
0,1,771.1538462
